locus_tag	ftype	length_bp	gene	EC_number	COG	product
HNHBCBPK_01065	CDS	717	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HNHBCBPK_01066	CDS	753				hypothetical protein
HNHBCBPK_01067	CDS	348				hypothetical protein
HNHBCBPK_01068	CDS	1224	ftsW	2.4.1.129	COG0772	putative peptidoglycan glycosyltransferase FtsW
HNHBCBPK_01069	CDS	978	ispH	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
HNHBCBPK_01070	CDS	1830	dnaG	2.7.7.-	COG0358	DNA primase
HNHBCBPK_01071	CDS	1110	sigA		COG0568	RNA polymerase sigma factor SigA
HNHBCBPK_01072	CDS	333				hypothetical protein
HNHBCBPK_01073	CDS	1698	mltG	4.2.2.-		Endolytic murein transglycosylase
HNHBCBPK_01074	CDS	474	greA		COG0782	Transcription elongation factor GreA
HNHBCBPK_01075	CDS	231				hypothetical protein
HNHBCBPK_01076	CDS	2487	gyrA	5.6.2.2	COG0188	DNA gyrase subunit A
HNHBCBPK_01077	CDS	753	strA	3.4.22.-	COG3764	Sortase A
HNHBCBPK_01078	CDS	831			COG1307	DegV domain-containing protein
HNHBCBPK_01079	CDS	687				hypothetical protein
HNHBCBPK_01080	CDS	276	hup		COG0776	DNA-binding protein HU
HNHBCBPK_01081	CDS	1182	xerD			Tyrosine recombinase XerD
HNHBCBPK_01082	CDS	237				hypothetical protein
HNHBCBPK_01083	CDS	390				hypothetical protein
HNHBCBPK_01084	CDS	222				hypothetical protein
HNHBCBPK_01085	CDS	96				hypothetical protein
HNHBCBPK_01086	CDS	396				hypothetical protein
HNHBCBPK_01087	CDS	327				hypothetical protein
HNHBCBPK_01088	CDS	186				hypothetical protein
HNHBCBPK_01089	CDS	672				hypothetical protein
HNHBCBPK_01090	CDS	312				hypothetical protein
HNHBCBPK_01091	CDS	153				hypothetical protein
HNHBCBPK_01092	CDS	312				hypothetical protein
HNHBCBPK_01093	CDS	231				hypothetical protein
HNHBCBPK_01094	CDS	381				hypothetical protein
HNHBCBPK_01095	CDS	405				hypothetical protein
HNHBCBPK_01096	CDS	399				hypothetical protein
HNHBCBPK_01097	CDS	723				hypothetical protein
HNHBCBPK_01098	CDS	432	ssb_2		COG0629	Single-stranded DNA-binding protein
HNHBCBPK_01099	CDS	951				hypothetical protein
HNHBCBPK_01100	CDS	201				hypothetical protein
HNHBCBPK_01101	CDS	162				hypothetical protein
HNHBCBPK_01102	CDS	348				hypothetical protein
HNHBCBPK_01103	CDS	414				hypothetical protein
HNHBCBPK_01104	CDS	210				hypothetical protein
HNHBCBPK_01105	CDS	453				hypothetical protein
HNHBCBPK_01106	CDS	288				hypothetical protein
HNHBCBPK_01107	CDS	237				hypothetical protein
HNHBCBPK_01108	CDS	495				hypothetical protein
HNHBCBPK_01109	CDS	627				hypothetical protein
HNHBCBPK_01110	CDS	330				hypothetical protein
HNHBCBPK_01111	CDS	414				hypothetical protein
HNHBCBPK_01112	CDS	642				hypothetical protein
HNHBCBPK_01113	CDS	549				hypothetical protein
HNHBCBPK_01114	CDS	1347				hypothetical protein
HNHBCBPK_01115	tRNA	71				tRNA-Cys(gca)
HNHBCBPK_01116	CDS	1152				hypothetical protein
HNHBCBPK_01117	CDS	441				hypothetical protein
HNHBCBPK_01118	CDS	276				hypothetical protein
HNHBCBPK_01119	CDS	609				hypothetical protein
HNHBCBPK_01120	CDS	867	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
HNHBCBPK_01121	CDS	1296				hypothetical protein
HNHBCBPK_01122	CDS	690				hypothetical protein
HNHBCBPK_01123	CDS	231				hypothetical protein
HNHBCBPK_01124	CDS	183				hypothetical protein
HNHBCBPK_01125	CDS	1293				hypothetical protein
HNHBCBPK_01126	CDS	708				hypothetical protein
HNHBCBPK_01127	CDS	150				hypothetical protein
HNHBCBPK_01128	CDS	405				hypothetical protein
HNHBCBPK_01129	CDS	453				hypothetical protein
HNHBCBPK_01130	CDS	3690				hypothetical protein
HNHBCBPK_01131	CDS	1071				hypothetical protein
HNHBCBPK_01132	CDS	999				hypothetical protein
HNHBCBPK_01133	CDS	2235				hypothetical protein
HNHBCBPK_01134	CDS	495				hypothetical protein
HNHBCBPK_01135	CDS	177				hypothetical protein
HNHBCBPK_01136	CDS	504				hypothetical protein
HNHBCBPK_01137	CDS	1587				hypothetical protein
HNHBCBPK_01138	CDS	918				hypothetical protein
HNHBCBPK_01139	CDS	381				hypothetical protein
HNHBCBPK_01140	CDS	342				hypothetical protein
HNHBCBPK_01141	CDS	270				hypothetical protein
HNHBCBPK_01142	CDS	741				hypothetical protein
HNHBCBPK_01143	CDS	942				hypothetical protein
HNHBCBPK_01144	CDS	849				hypothetical protein
HNHBCBPK_01145	CDS	729				hypothetical protein
HNHBCBPK_01146	CDS	132				hypothetical protein
HNHBCBPK_01147	CDS	183				hypothetical protein
HNHBCBPK_01148	CDS	357				hypothetical protein
HNHBCBPK_01149	CDS	177				hypothetical protein
HNHBCBPK_01150	CDS	1779				hypothetical protein
HNHBCBPK_01151	CDS	678				hypothetical protein
HNHBCBPK_01152	CDS	651	rex		COG2344	Redox-sensing transcriptional repressor Rex
HNHBCBPK_01153	CDS	1911	yheS_1		COG0488	putative ABC transporter ATP-binding protein YheS
HNHBCBPK_01154	CDS	996	eis	2.3.1.-		N-acetyltransferase Eis
HNHBCBPK_01155	CDS	873				hypothetical protein
HNHBCBPK_01156	CDS	1320	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
HNHBCBPK_01157	CDS	1359		2.1.1.-	COG2265	putative RNA methyltransferase
HNHBCBPK_01158	CDS	504				hypothetical protein
HNHBCBPK_01159	CDS	459				hypothetical protein
HNHBCBPK_01160	CDS	1041				hypothetical protein
HNHBCBPK_01161	CDS	801	mccF_1			Microcin C7 self-immunity protein MccF
HNHBCBPK_01162	CDS	954				hypothetical protein
HNHBCBPK_01163	CDS	1281				hypothetical protein
HNHBCBPK_01164	CDS	1779				hypothetical protein
HNHBCBPK_01165	CDS	396				hypothetical protein
HNHBCBPK_01166	CDS	600	maa_2	2.3.1.79	COG0110	Maltose O-acetyltransferase
HNHBCBPK_01167	CDS	354				hypothetical protein
HNHBCBPK_01168	CDS	420				hypothetical protein
HNHBCBPK_01169	CDS	156				hypothetical protein
HNHBCBPK_01170	CDS	954				hypothetical protein
HNHBCBPK_01171	CDS	375				hypothetical protein
HNHBCBPK_01172	CDS	381				hypothetical protein
HNHBCBPK_01173	CDS	1503	ypwA	3.4.17.19	COG2317	Carboxypeptidase 1
HNHBCBPK_01174	CDS	678	ydfK		COG1811	putative membrane protein YdfK
HNHBCBPK_01175	CDS	459				hypothetical protein
HNHBCBPK_01176	CDS	2040	copB	7.2.2.8		Copper-exporting P-type ATPase B
HNHBCBPK_01177	CDS	1095				hypothetical protein
HNHBCBPK_01178	CDS	987	guaC	1.7.1.7		GMP reductase
HNHBCBPK_01179	CDS	741	artM		COG1126	Arginine transport ATP-binding protein ArtM
HNHBCBPK_01180	CDS	2157	mltF_2	4.2.2.-		Membrane-bound lytic murein transglycosylase F
HNHBCBPK_01181	CDS	1995	ponA		COG0744	Penicillin-binding protein 1A
HNHBCBPK_01182	CDS	609	recU	3.1.22.4	COG3331	Holliday junction resolvase RecU
HNHBCBPK_01183	CDS	537				hypothetical protein
HNHBCBPK_01184	CDS	402	gpsB_1		COG3599	Cell cycle protein GpsB
HNHBCBPK_01185	CDS	1149	rlmL	2.1.1.173	COG0116	Ribosomal RNA large subunit methyltransferase L
HNHBCBPK_01186	CDS	1572	mapZ			Mid-cell-anchored protein Z
HNHBCBPK_01187	CDS	1293	purB	4.3.2.2	COG0015	Adenylosuccinate lyase
HNHBCBPK_01188	CDS	1281	hom	1.1.1.3	COG0460	Homoserine dehydrogenase
HNHBCBPK_01189	CDS	864	thrB	2.7.1.39	COG0083	Homoserine kinase
HNHBCBPK_01190	CDS	933	rarD		COG2962	Protein RarD
HNHBCBPK_01191	CDS	1458	amiC	3.5.1.4	COG0154	Putative amidase AmiC
HNHBCBPK_01192	CDS	912	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
HNHBCBPK_01193	CDS	1158	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
HNHBCBPK_01194	CDS	801	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
HNHBCBPK_01195	CDS	771	ydcV			Inner membrane ABC transporter permease protein YdcV
HNHBCBPK_01196	CDS	891				hypothetical protein
HNHBCBPK_01197	CDS	600	lemA		COG1704	Protein LemA
HNHBCBPK_01198	CDS	1032	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
HNHBCBPK_01199	CDS	771	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
HNHBCBPK_01200	CDS	765	pdxK_2	2.7.1.35	COG0351	Pyridoxine kinase
HNHBCBPK_01201	CDS	462	hmpT		COG4720	Thiamine precursor transporter HmpT
HNHBCBPK_01202	CDS	540				hypothetical protein
HNHBCBPK_01203	CDS	453				hypothetical protein
HNHBCBPK_01204	CDS	246				hypothetical protein
HNHBCBPK_01205	CDS	1611	pyrG	6.3.4.2	COG0504	CTP synthase
HNHBCBPK_01206	CDS	1278				hypothetical protein
HNHBCBPK_01207	CDS	393				hypothetical protein
HNHBCBPK_01208	CDS	180				hypothetical protein
HNHBCBPK_01209	CDS	3123	dnaE2	2.7.7.7		Error-prone DNA polymerase
HNHBCBPK_01210	CDS	963	pfkA	2.7.1.11		ATP-dependent 6-phosphofructokinase
HNHBCBPK_01211	CDS	1503	pyk	2.7.1.40	COG0469	Pyruvate kinase
HNHBCBPK_01212	CDS	1251				hypothetical protein
HNHBCBPK_01213	CDS	147				hypothetical protein
HNHBCBPK_01214	CDS	324				hypothetical protein
HNHBCBPK_01215	CDS	786	gatD	6.3.5.13	COG3442	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit GatD
HNHBCBPK_01216	CDS	1353	murT	6.3.5.13	COG0769	Lipid II isoglutaminyl synthase (glutamine-hydrolyzing) subunit MurT
HNHBCBPK_01217	CDS	5220	prtP	3.4.21.96		PII-type proteinase
HNHBCBPK_01218	CDS	357				hypothetical protein
HNHBCBPK_01219	CDS	537		2.3.1.-	COG1670	Acetyltransferase
HNHBCBPK_01220	CDS	1833	lepA	3.6.5.-	COG0481	Elongation factor 4
HNHBCBPK_01221	CDS	303				hypothetical protein
HNHBCBPK_01222	CDS	756	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
HNHBCBPK_01223	CDS	435	fabZ_1	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
HNHBCBPK_01224	CDS	438				hypothetical protein
HNHBCBPK_01225	CDS	969	fabH	2.3.1.180	COG0332	3-oxoacyl-[acyl-carrier-protein] synthase 3
HNHBCBPK_01226	CDS	225	acpP_2		COG0236	Acyl carrier protein
HNHBCBPK_01227	CDS	921	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
HNHBCBPK_01228	CDS	738	fabG	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
HNHBCBPK_01229	CDS	1239	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
HNHBCBPK_01230	CDS	504	accB			Biotin carboxyl carrier protein of acetyl-CoA carboxylase
HNHBCBPK_01231	CDS	429	fabZ_2	4.2.1.59	COG0764	3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
HNHBCBPK_01232	CDS	528	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
HNHBCBPK_01233	CDS	765	accC	6.3.4.14	COG0439	Biotin carboxylase
HNHBCBPK_01234	CDS	876	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
HNHBCBPK_01235	CDS	786	accA	2.1.3.15	COG0825	Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
HNHBCBPK_01236	CDS	957	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
HNHBCBPK_01237	CDS	840	yokD_1	2.3.1.-	COG2746	SPbeta prophage-derived aminoglycoside N(3')-acetyltransferase-like protein YokD
HNHBCBPK_01238	CDS	264				hypothetical protein
HNHBCBPK_01239	CDS	663	murI_2	5.1.1.3		Glutamate racemase
HNHBCBPK_01240	CDS	555				hypothetical protein
HNHBCBPK_01241	CDS	345				hypothetical protein
HNHBCBPK_01242	CDS	564		3.2.2.-	COG1611	Putative cytokinin riboside 5'-monophosphate phosphoribohydrolase
HNHBCBPK_01243	CDS	279				hypothetical protein
HNHBCBPK_01244	CDS	1011	pgl_2	3.1.1.31	COG2706	6-phosphogluconolactonase
HNHBCBPK_01245	CDS	1206				hypothetical protein
HNHBCBPK_01246	CDS	1257	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
HNHBCBPK_01247	CDS	1659	alsS	2.2.1.6	COG0028	Acetolactate synthase
HNHBCBPK_01248	CDS	735	tipA			HTH-type transcriptional activator TipA
HNHBCBPK_01249	CDS	1371	pheP		COG1113	Phenylalanine-specific permease
HNHBCBPK_01250	CDS	351	ytrA_2		COG1725	HTH-type transcriptional repressor YtrA
HNHBCBPK_01251	CDS	822	ytrB_1		COG1131	ABC transporter ATP-binding protein YtrB
HNHBCBPK_01252	CDS	1263				hypothetical protein
HNHBCBPK_01253	CDS	474				hypothetical protein
HNHBCBPK_01254	CDS	846				hypothetical protein
HNHBCBPK_01255	CDS	741				hypothetical protein
HNHBCBPK_01256	CDS	264				hypothetical protein
HNHBCBPK_01257	CDS	1083			COG0577	putative ABC transporter permease
HNHBCBPK_01258	CDS	696	hrtA	3.6.3.-		Putative hemin import ATP-binding protein HrtA
HNHBCBPK_01259	CDS	615				hypothetical protein
HNHBCBPK_01260	CDS	1368				hypothetical protein
HNHBCBPK_01261	CDS	2229	ppk_1	2.7.4.1		Polyphosphate kinase
HNHBCBPK_01262	CDS	297				hypothetical protein
HNHBCBPK_01263	CDS	819	ywpJ	3.1.3.-	COG0561	Phosphatase YwpJ
HNHBCBPK_01264	CDS	369				hypothetical protein
HNHBCBPK_01265	CDS	297				hypothetical protein
HNHBCBPK_01266	CDS	618				hypothetical protein
HNHBCBPK_01267	CDS	654				hypothetical protein
HNHBCBPK_01268	CDS	270				hypothetical protein
HNHBCBPK_01269	CDS	1734			COG1132	putative ABC transporter ATP-binding protein
HNHBCBPK_01270	CDS	1758		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
HNHBCBPK_01271	CDS	888	btuD_6	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HNHBCBPK_01272	CDS	714				hypothetical protein
HNHBCBPK_01273	CDS	741				hypothetical protein
HNHBCBPK_01274	CDS	132				hypothetical protein
HNHBCBPK_01275	CDS	615	slmA			Nucleoid occlusion factor SlmA
HNHBCBPK_01276	CDS	4290				hypothetical protein
HNHBCBPK_01277	CDS	984				hypothetical protein
HNHBCBPK_01278	CDS	1812	uvrC		COG0322	UvrABC system protein C
HNHBCBPK_01279	CDS	1410	pepV	3.4.13.-		Beta-Ala-Xaa dipeptidase
HNHBCBPK_01280	CDS	525				hypothetical protein
HNHBCBPK_01281	CDS	492				hypothetical protein
HNHBCBPK_01282	CDS	939	pyrF_2	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
HNHBCBPK_01283	CDS	534				hypothetical protein
HNHBCBPK_01284	CDS	1029	queA	2.4.99.17	COG0809	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
HNHBCBPK_01285	CDS	702	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
HNHBCBPK_01286	CDS	507				hypothetical protein
HNHBCBPK_01287	CDS	831	metF_1	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
HNHBCBPK_01288	CDS	468	rppH_1	3.6.1.-		RNA pyrophosphohydrolase
HNHBCBPK_01289	CDS	1608	btuD_7	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
HNHBCBPK_01290	CDS	309				hypothetical protein
HNHBCBPK_01291	CDS	249				hypothetical protein
HNHBCBPK_01292	CDS	531				IS1595 family transposase ISCac2
HNHBCBPK_01293	CDS	660				hypothetical protein
HNHBCBPK_01294	CDS	810				hypothetical protein
HNHBCBPK_01295	CDS	741	tam	2.1.1.144		Trans-aconitate 2-methyltransferase
HNHBCBPK_01296	CDS	741	sapB_1		COG1285	Protein SapB
HNHBCBPK_01297	CDS	711	sapB_2		COG1285	Protein SapB
HNHBCBPK_01298	CDS	486				hypothetical protein
HNHBCBPK_01299	CDS	498				hypothetical protein
HNHBCBPK_01300	CDS	210				hypothetical protein
HNHBCBPK_01301	CDS	906				hypothetical protein
HNHBCBPK_01302	CDS	1344	gor	1.8.1.7	COG1249	Glutathione reductase
HNHBCBPK_01303	CDS	1125				hypothetical protein
HNHBCBPK_01304	CDS	1944				hypothetical protein
HNHBCBPK_01305	CDS	273	rpsP		COG0228	30S ribosomal protein S16
HNHBCBPK_01306	CDS	240				hypothetical protein
HNHBCBPK_01307	CDS	519	rimM			Ribosome maturation factor RimM
HNHBCBPK_01308	CDS	723	trmD	2.1.1.228		tRNA (guanine-N(1)-)-methyltransferase
HNHBCBPK_01309	CDS	381				hypothetical protein
HNHBCBPK_01310	CDS	849			COG1307	DegV domain-containing protein
HNHBCBPK_01311	CDS	765	dapB	1.17.1.8	COG0289	4-hydroxy-tetrahydrodipicolinate reductase
HNHBCBPK_01312	CDS	1215	cca	2.7.7.72		CCA-adding enzyme
HNHBCBPK_01313	CDS	1881	ettA		COG0488	Energy-dependent translational throttle protein EttA
HNHBCBPK_01314	CDS	837	thyA	2.1.1.45	COG0207	Thymidylate synthase
HNHBCBPK_01315	CDS	279				hypothetical protein
HNHBCBPK_01316	CDS	501	dhfR	1.5.1.3	COG0262	Dihydrofolate reductase
HNHBCBPK_01317	CDS	1263	clpX		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
HNHBCBPK_01318	CDS	585	engB		COG0218	putative GTP-binding protein EngB
HNHBCBPK_01319	CDS	642				hypothetical protein
HNHBCBPK_01320	CDS	258				hypothetical protein
HNHBCBPK_01321	CDS	693				hypothetical protein
HNHBCBPK_01322	CDS	1452				hypothetical protein
HNHBCBPK_01323	CDS	501	infC		COG0290	Translation initiation factor IF-3
HNHBCBPK_01324	CDS	201	rpmI		COG0291	50S ribosomal protein L35
HNHBCBPK_01325	CDS	357	rplT		COG0292	50S ribosomal protein L20
HNHBCBPK_01326	CDS	492				hypothetical protein
HNHBCBPK_01327	CDS	852	lpxG	3.6.1.-	COG1408	UDP-2,3-diacylglucosamine pyrophosphatase LpxG
HNHBCBPK_01328	CDS	966				hypothetical protein
HNHBCBPK_01329	CDS	1500				hypothetical protein
HNHBCBPK_01330	CDS	330				hypothetical protein
HNHBCBPK_01331	CDS	192				hypothetical protein
HNHBCBPK_01332	CDS	456				hypothetical protein
HNHBCBPK_01333	CDS	720	rluB_2	5.4.99.22	COG1187	Ribosomal large subunit pseudouridine synthase B
HNHBCBPK_01334	CDS	387				hypothetical protein
HNHBCBPK_01335	CDS	921	cysK	2.5.1.47		Cysteine synthase
HNHBCBPK_01336	CDS	525	cysE	2.3.1.30	COG1045	Serine acetyltransferase
HNHBCBPK_01337	CDS	177				hypothetical protein
HNHBCBPK_01338	CDS	648				hypothetical protein
HNHBCBPK_01339	CDS	1011				hypothetical protein
HNHBCBPK_01340	CDS	1290				hypothetical protein
HNHBCBPK_01341	CDS	672				hypothetical protein
HNHBCBPK_01342	CDS	342				hypothetical protein
HNHBCBPK_01343	CDS	252				hypothetical protein
HNHBCBPK_01344	CDS	873	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
HNHBCBPK_01345	CDS	657	graR		COG0745	Response regulator protein GraR
HNHBCBPK_01346	CDS	1044				hypothetical protein
HNHBCBPK_01347	CDS	549	sutR		COG1396	HTH-type transcriptional regulator SutR
HNHBCBPK_01348	CDS	708	ygaZ		COG1296	Inner membrane protein YgaZ
HNHBCBPK_01349	CDS	324				hypothetical protein
HNHBCBPK_01350	CDS	2004	bceB		COG0577	Bacitracin export permease protein BceB
HNHBCBPK_01351	CDS	2007	yxdM			ABC transporter permease protein YxdM
HNHBCBPK_01352	CDS	753	yxdL		COG1136	ABC transporter ATP-binding protein YxdL
HNHBCBPK_01353	CDS	345				hypothetical protein
HNHBCBPK_01354	CDS	822	pheA			Bifunctional chorismate mutase/prephenate dehydratase
HNHBCBPK_01355	CDS	522	aroK	2.7.1.71	COG0703	Shikimate kinase
HNHBCBPK_01356	CDS	1290	aroA	2.5.1.19	COG0128	3-phosphoshikimate 1-carboxyvinyltransferase
HNHBCBPK_01357	CDS	1110				hypothetical protein
HNHBCBPK_01358	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
HNHBCBPK_01359	CDS	1068	aroB	4.2.3.4	COG0337	3-dehydroquinate synthase
HNHBCBPK_01360	CDS	873	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
HNHBCBPK_01361	CDS	681	aroD	4.2.1.10	COG0710	3-dehydroquinate dehydratase
HNHBCBPK_01362	CDS	1158	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
HNHBCBPK_01363	CDS	2166	ltaS1		COG1368	Lipoteichoic acid synthase 1
HNHBCBPK_01364	CDS	1950	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
HNHBCBPK_01365	CDS	594	gph	3.1.3.18		Phosphoglycolate phosphatase
HNHBCBPK_01366	CDS	1470	expZ		COG0488	Nucleotide-binding protein ExpZ
HNHBCBPK_01367	CDS	768	butA	1.1.1.304		Diacetyl reductase [(S)-acetoin forming]
HNHBCBPK_01368	CDS	309	ptcB	2.7.1.205	COG1440	PTS system cellobiose-specific EIIB component
HNHBCBPK_01369	CDS	1224	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
HNHBCBPK_01370	CDS	597				hypothetical protein
HNHBCBPK_01371	CDS	243				hypothetical protein
HNHBCBPK_01372	CDS	642				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
HNHBCBPK_01373	CDS	807				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
HNHBCBPK_01374	CDS	633	vraR			Response regulator protein VraR
HNHBCBPK_01375	CDS	969				hypothetical protein
HNHBCBPK_01376	CDS	690				hypothetical protein
HNHBCBPK_01377	CDS	1332	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
HNHBCBPK_01378	CDS	645				hypothetical protein
HNHBCBPK_01379	CDS	3105	rapA	3.6.4.-		RNA polymerase-associated protein RapA
HNHBCBPK_01380	CDS	528				hypothetical protein
HNHBCBPK_01381	CDS	261			COG0759	Putative membrane protein insertion efficiency factor
HNHBCBPK_01382	CDS	870				hypothetical protein
HNHBCBPK_01383	CDS	408				hypothetical protein
HNHBCBPK_01384	CDS	978	iolG	1.1.1.369		Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase
HNHBCBPK_01385	CDS	726				hypothetical protein
HNHBCBPK_01386	CDS	468				hypothetical protein
HNHBCBPK_01387	CDS	1626			COG1132	putative ABC transporter ATP-binding protein
HNHBCBPK_01388	CDS	216				hypothetical protein
HNHBCBPK_01389	CDS	513	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
HNHBCBPK_01390	CDS	879	cvfB			Conserved virulence factor B
HNHBCBPK_01391	CDS	558	frr			Ribosome-recycling factor
HNHBCBPK_01392	CDS	717	pyrH	2.7.4.22	COG0528	Uridylate kinase
HNHBCBPK_01393	CDS	1614	treA	3.2.1.93	COG0366	Trehalose-6-phosphate hydrolase
HNHBCBPK_01394	CDS	2055				hypothetical protein
HNHBCBPK_01395	CDS	717	treR		COG2188	HTH-type transcriptional regulator TreR
HNHBCBPK_01396	CDS	2019	pknD	2.7.11.1		Serine/threonine-protein kinase PknD
HNHBCBPK_01397	CDS	765	phpP	3.1.3.16	COG0631	Protein phosphatase PhpP
HNHBCBPK_01398	CDS	1317	rsmB	2.1.1.176	COG0144	Ribosomal RNA small subunit methyltransferase B
HNHBCBPK_01399	CDS	936	fmt	2.1.2.9		Methionyl-tRNA formyltransferase
HNHBCBPK_01400	CDS	2370	priA	3.6.4.-	COG1198	Primosomal protein N'
HNHBCBPK_01401	CDS	315	rpoZ	2.7.7.6		DNA-directed RNA polymerase subunit omega
HNHBCBPK_01402	CDS	609	gmk	2.7.4.8	COG0194	Guanylate kinase
HNHBCBPK_01403	CDS	1962	fruA		COG1299	PTS system fructose-specific EIIABC component
HNHBCBPK_01404	CDS	912	lacC	2.7.1.144	COG1105	Tagatose-6-phosphate kinase
HNHBCBPK_01405	CDS	705	lacR			Lactose phosphotransferase system repressor
HNHBCBPK_01406	CDS	915	whiA		COG1481	putative cell division protein WhiA
HNHBCBPK_01407	CDS	978			COG0391	Putative gluconeogenesis factor
HNHBCBPK_01408	CDS	891	yvcJ		COG1660	Nucleotide-binding protein YvcJ
HNHBCBPK_01409	CDS	408	nusB		COG0781	Transcription antitermination protein NusB
HNHBCBPK_01410	CDS	405				putative protein
HNHBCBPK_01411	CDS	561	efp			Elongation factor P
HNHBCBPK_01412	CDS	1056	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
HNHBCBPK_01413	CDS	417				hypothetical protein
HNHBCBPK_01414	CDS	2832	uvrA			UvrABC system protein A
HNHBCBPK_01415	CDS	1737	yheI	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheI
HNHBCBPK_01416	CDS	1788	yheH	3.6.3.-	COG1132	putative multidrug resistance ABC transporter ATP-binding/permease protein YheH
HNHBCBPK_01417	CDS	204				hypothetical protein
HNHBCBPK_01418	CDS	204				hypothetical protein
HNHBCBPK_01419	CDS	942	manA	5.3.1.8	COG1482	Mannose-6-phosphate isomerase ManA
HNHBCBPK_01420	CDS	552				Potassium channel
HNHBCBPK_01421	CDS	639				hypothetical protein
HNHBCBPK_01422	CDS	1323	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
HNHBCBPK_01423	CDS	831	lacG			Lactose transport system permease protein LacG
HNHBCBPK_01424	CDS	879	ugpA		COG1175	sn-glycerol-3-phosphate transport system permease protein UgpA
HNHBCBPK_01425	CDS	1104	ugpC	7.6.2.10	COG3839	sn-glycerol-3-phosphate import ATP-binding protein UgpC
HNHBCBPK_01426	CDS	1434	phoB	3.1.3.1	COG1785	Alkaline phosphatase 3
HNHBCBPK_01427	CDS	840				hypothetical protein
HNHBCBPK_01428	CDS	720	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
HNHBCBPK_01429	CDS	240				hypothetical protein
HNHBCBPK_01430	CDS	1098				hypothetical protein
HNHBCBPK_01431	CDS	1581	yheS_2		COG0488	putative ABC transporter ATP-binding protein YheS
HNHBCBPK_01432	CDS	795				hypothetical protein
HNHBCBPK_01433	CDS	201				hypothetical protein
HNHBCBPK_01434	CDS	2004	metG	6.1.1.10		Methionine--tRNA ligase
HNHBCBPK_01435	CDS	828	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
HNHBCBPK_01436	CDS	771				Putative bifunctional phosphatase/peptidyl-prolyl cis-trans isomerase
HNHBCBPK_01437	CDS	729				hypothetical protein
HNHBCBPK_01438	CDS	393				hypothetical protein
HNHBCBPK_01439	CDS	1239	entS_1			Enterobactin exporter EntS
HNHBCBPK_01440	CDS	327				hypothetical protein
HNHBCBPK_01441	CDS	345	spxA_3			Regulatory protein Spx
HNHBCBPK_01442	CDS	690	rplA			50S ribosomal protein L1
